,TARIH,FONKODU,FONUNVAN,FIYAT,TEDPAYSAYISI,KISISAYISI,PORTFOYBUYUKLUK,BORSABULTENFIYAT
554,1688688000000,ICN,İSTANBUL PORTFÖY ÜÇÜNCÜ İSTATİSTİKSEL ARBİTRAJ SERBEST (TL) FON,1.118258,12869010.0,10.0,14390869.74,-
555,1688688000000,ICS,ICBC TURKEY PORTFÖY SERBEST (DÖVİZ) FON,28.152621,100177.0,26.0,2820245.11,-
556,1688688000000,ICU,INVEO PORTFÖY KISA VADELİ SERBEST (TL) FON,1.21048,162735110.0,18.0,196987605.19,-
557,1688688000000,ICV,ICBC TURKEY PORTFÖY BİRİNCİ SERBEST FON,1.86356,2133973.0,20.0,3976787.12,-
558,1688688000000,ICZ,AK PORTFÖY TEKNOLOJİ ŞİRKETLERİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),2.029522,38833521.0,7848.0,78813473.41,-
559,1688688000000,IDD,LOGOS PORTFÖY DİNAMİK DAĞIMLI SERBEST FON,0.061183,252438938.0,9.0,15445071.53,-
560,1688688000000,IDF,İŞ PORTFÖY SERBEST (DÖVİZ) FON,32.615424,21729509.0,712.0,708717146.12,-
561,1688688000000,IDH,İŞ PORTFÖY BIST 100 DIŞI ŞİRKETLER HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),3.431906,85940992.0,9290.0,294941393.36,-
562,1688688000000,IDL,AKTİF PORTFÖY PARA PİYASASI (TL) FONU,1.639125,463884427.0,862.0,760364355.79,-
563,1688688000000,IDP,İSTANBUL PORTFÖY SİRİUS SERBEST FON,0.0,0.0,0.0,0.0,-
564,1688688000000,IDV,İŞ PORTFÖY ACHS SERBEST (DÖVİZ) ÖZEL FON,27.896946,7661090.0,2.0,213721014.66,-
565,1688688000000,IDY,TEB PORTFÖY İKİNCİ DEĞİŞKEN FON,0.064889,2973436945.126,1651.0,192943228.95,-
566,1688688000000,IEV,İŞ PORTFÖY TAŞIMACILIK DEĞİŞKEN FON,2.089224,31946247.0,5901.0,66742874.18,-
567,1688688000000,IEZ,INVEO PORTFÖY ELMA HİSSE SENEDİ SERBEST (TL) ÖZEL FON (HİSSE SENEDİ YOĞUN FON),0.452504,840438239.0,2.0,380301767.67,-
568,1688688000000,IFD,İŞ PORTFÖY FINDIKLI SERBEST (DÖVİZ) ÖZEL FON,25.883124,20000000.0,9.0,517662473.44,-
